Product URL,Product Name,Product Price,Rating,Number of Reviews
/Gizga-Essentials-Organizer-Multi-Utility-Cosmetics/dp/B09WVRKYCJ,"Gizga Essentials Travel Toiletry Kit Bag for Men & Women, Travel Organizer Case with Handle & Hook, Premium Zipper, Multiple Pockets, Multi-Utility Pouch for Shaving Makeup Cosmetics, Light Grey",₹349,4.2,176
/Glowic-Grocery-Shoulder-Handbags-WBAG-50/dp/B09YRWZBW8,"Glowic Canvas Grocery, Travel, Beach | Shoulder Handbags Women, College Bags for Girls Stylish Trendy(WBAG-50)",₹519,3.6,274
/Lino-Perros-Womens-Floral-Peach/dp/B0B57B7KV7,Lino Perros womens handbag,"₹1,168",4.1,"3,496"
/Genie-Moonlight-compartments-Lightweight-Travelling/dp/B097PGGTNJ,"Genie Moonlight Laptop Backpack for Women, 3 compartments, Water Resistant and Lightweight Bags for Office and Travelling Purpose. 36 litres. (19 inch) Black colour","₹1,004",3.0,4
/FunBlast-Mens-Womens-Sling-Multicolour/dp/B09N42KLNX,"FunBlast Unicorn Pop it Sling Bag - Crossbody Bag for Kids, Pop it Purse for Girls, Pop It Bag for Girls, Pop it Bag for Girls, (Pack of 1 Pcs Random Color)",₹351,3.6,205
/Wildcraft-Music-Backpack-Blue-11954/dp/B07N2PDVX4,Wildcraft 31 Ltrs 18.50 inchs Backpack (11954 Blue_Blue),"₹1,198",4.3,369
/Hian-Multipurpose-Lightweight-Pack-06/dp/B0BWFJSZVC,"Hian Heavy Double Layer Produce Bags Washable, Reusable, Multipurpose, Lightweight Mesh Grocery Bags for Fruits, (Pack of 06)",₹249,5.0,8
/Yogwise-Yoga-Mat-Bag-Exercise/dp/B0CB1K1H3N,"Yogwise Yoga Mat Bag for Women and Men, Fabric Exercise Mat Carry Bag Cover and Shoulder Strap Water Proof Polyster Material 4mm to 6mm Yoga Mat Fit Black",₹195,5.0,5
/Skybags-Unisex-Adjustable-Polyester-Backpacks/dp/B0BJ75WR71,Skybags Chase 32L Unisex Adjustable Strap Polyester Red Backpacks,"₹1,154",4.2,100
/AirCase-C25-Messenger-Shoulder-Compartments/dp/B07X6DV3VM,"AirCase Office Messenger Sling Bag fits upto 15.6"" Laptop/Macbook, Detachable Shoulder Strap, Waterproof, Shockproof, Carry Handle with Spacious Pockets, For Men & Women, Blue- with Warranty",₹949,3.9,"1,352"
/BEAUTY-GIRLS-HOTSHOT-School-1565/dp/B0BFXCHQZ5,"BEAUTY GIRLS By HOTSHOT Girls School Bag (15ltr , Navy Blue, 1565)",₹549,3.7,298
/Half-Moon-Resistant-Laptop-Backpack/dp/B09842K4RQ,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Black | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",₹699,3.9,346
